"Gene","XCI_status"
"PLCXD1","escape"
"GTPBP6","escape"
"PPP2R3B","escape"
"SHOX","escape"
"CSF2RA","escape"
"IL3RA","escape"
"SLC25A6","escape"
"LINC00106","escape"
"ASMTL-AS1","escape"
"ASMTL","escape"
"P2RY8","escape"
"AKAP17A","escape"
"ASMT","escape"
"DHRSX","escape"
"ZBED1","escape"
"CD99P1","escape"
"CD99","escape"
"XG","escape"
"GYG2","escape"
"ARSD","escape"
"ARSL","escape"
"ARSH","escape"
"ARSF","escape"
"LINC01546","escape"
"MXRA5","escape"
"PRKX","escape"
"NLGN4X","variable"
"PUDP","escape"
"STS","escape"
"PNPLA4","escape"
"ANOS1","escape"
"FAM9B","variable"
"TBL1X","variable"
"GPR143","variable"
"SHROOM2","variable"
"WWC3","inactive"
"CLCN4","inactive"
"MID1","inactive"
"HCCS","inactive"
"ARHGAP6","inactive"
"MSL3","escape"
"FRMPD4","inactive"
"PRPS2","inactive"
"TLR7","inactive"
"TLR8-AS1","variable"
"FAM9C","escape"
"LINC02154","escape"
"ATXN3L","variable"
"EGFL6","inactive"
"TCEANC","escape"
"RAB9A","escape"
"TRAPPC2","escape"
"OFD1","escape"
"GPM6B","escape"
"GEMIN8","escape"
"GLRA2","inactive"
"FANCB","inactive"
"MOSPD2","inactive"
"ASB9","inactive"
"ASB11","variable"
"PIGA","inactive"
"VEGFD","inactive"
"PIR","variable"
"BMX","variable"
"ACE2","escape"
"CLTRN","escape"
"CA5BP1","escape"
"CA5B","escape"
"ZRSR2","escape"
"AP1S2","escape"
"GRPR","variable"
"CTPS2","variable"
"S100G","escape"
"SYAP1","escape"
"TXLNG","escape"
"RBBP7","variable"
"REPS2","inactive"
"NHS","variable"
"SCML1","inactive"
"RAI2","inactive"
"BEND2","variable"
"SCML2","inactive"
"CDKL5","inactive"
"RS1","inactive"
"PPEF1","variable"
"PHKA2","inactive"
"ADGRG2","inactive"
"PDHA1","inactive"
"MAP3K15","variable"
"SH3KBP1","inactive"
"BCLAF3","inactive"
"MAP7D2","inactive"
"EIF1AX","escape"
"RPS6KA3","inactive"
"CNKSR2","variable"
"SMPX","inactive"
"MBTPS2","inactive"
"SMS","inactive"
"PHEX","variable"
"PHEX-AS1","inactive"
"PTCHD1","variable"
"PRDX4","inactive"
"ACOT9","inactive"
"SAT1","inactive"
"APOO","inactive"
"CXorf58","inactive"
"KLHL15","inactive"
"EIF2S3","escape"
"ZFX","escape"
"PDK3","inactive"
"PCYT1B","inactive"
"POLA1","inactive"
"MAGEB18","escape"
"VENTXP1","escape"
"PPP4R3C","escape"
"IL1RAPL1","variable"
"MAGEB3","escape"
"NR0B1","escape"
"TASL","variable"
"GK","inactive"
"TAB3","inactive"
"DMD","inactive"
"MAGEB16","inactive"
"CFAP47","escape"
"PRRG1","inactive"
"LANCL3","variable"
"XK","variable"
"CYBB","inactive"
"DYNLT3","inactive"
"SYTL5","inactive"
"SRPX","variable"
"RPGR","inactive"
"OTC","variable"
"TSPAN7","inactive"
"MID1IP1","inactive"
"BCOR","inactive"
"ATP6AP2","inactive"
"MPC1L","escape"
"CXorf38","escape"
"MED14","escape"
"USP9X","escape"
"DDX3X","escape"
"NYX","inactive"
"CASK","inactive"
"GPR34","inactive"
"MAOA","escape"
"MAOB","inactive"
"NDP","variable"
"EFHC2","variable"
"FUNDC1","escape"
"KDM6A","escape"
"DIPK2B","inactive"
"KRBOX4","inactive"
"ZNF674","inactive"
"ZNF674-AS1","inactive"
"CHST7","inactive"
"SLC9A7","inactive"
"RP2","inactive"
"JADE3","inactive"
"RGN","inactive"
"NDUFB11","inactive"
"RBM10","inactive"
"UBA1","escape"
"CDK16","escape"
"USP11","inactive"
"ZNF157","variable"
"ZNF41","inactive"
"LINC01560","inactive"
"ARAF","inactive"
"SYN1","inactive"
"TIMP1","variable"
"CFP","inactive"
"ELK1","inactive"
"UXT","inactive"
"ZNF81","inactive"
"ZNF182","inactive"
"ZNF630","inactive"
"SLC38A5","inactive"
"FTSJ1","inactive"
"PORCN","inactive"
"TBC1D25","inactive"
"RBM3","variable"
"WDR13","inactive"
"WAS","variable"
"SUV39H1","inactive"
"GATA1","inactive"
"HDAC6","inactive"
"PQBP1","variable"
"TIMM17B","inactive"
"SLC35A2","inactive"
"PIM2","inactive"
"OTUD5","inactive"
"KCND1","inactive"
"GRIPAP1","inactive"
"TFE3","inactive"
"CCDC120","inactive"
"PRAF2","inactive"
"WDR45","inactive"
"GPKOW","inactive"
"MAGIX","inactive"
"PLP2","inactive"
"PRICKLE3","inactive"
"SYP","inactive"
"CACNA1F","inactive"
"CCDC22","inactive"
"FOXP3","inactive"
"PPP1R3F","inactive"
"USP27X-AS1","inactive"
"CLCN5","inactive"
"AKAP4","inactive"
"CCNB3","inactive"
"DGKK","inactive"
"SHROOM4","inactive"
"NUDT10","inactive"
"EZHIP","inactive"
"NUDT11","inactive"
"GSPT2","inactive"
"MAGED1","inactive"
"SSX8P","inactive"
"FAM156A","inactive"
"GPR173","inactive"
"TSPYL2","inactive"
"KANTR","inactive"
"KDM5C","escape"
"IQSEC2","escape"
"SMC1A","escape"
"RIBC1","escape"
"HSD17B10","inactive"
"HUWE1","inactive"
"PHF8","inactive"
"FAM120C","inactive"
"WNK3","inactive"
"TSR2","inactive"
"FGD1","inactive"
"GNL3L","inactive"
"MAGED2","inactive"
"TRO","inactive"
"PFKFB1","inactive"
"APEX2","inactive"
"ALAS2","inactive"
"FAM104B","inactive"
"MAGEH1","inactive"
"RRAGB","inactive"
"KLF8","inactive"
